EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
NO,RESAPATH,"Data set of antimicrobial resistance in bacterial pathogens isolated from diseased animals (all species) in France, aggregated at departement level and per month","AMR, Diseased animals",ANSES,Géraldine Cazeau,2006-2022,No,,YES, ,,,https://shiny-public.anses.fr/ENresapath2/,France – data available at the geographical department level,,AMR,,Dataset,Disease data,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120144,144
YES,Annotation of epidemiological information in animal disease-related news articles: guidelines and manually labelled corpus,"This dataset contains two files: (i) An annotated corpus (""epi_info_corpus‧xlsx"") containing 486 manually annotated sentences extracted from 32 animal disease-related news articles. These news articles were obtained from the database of an event-based biosurveillance system dedicated to animal health surveillance, PADI-web (https://padi-web.cirad.fr/en/). The first sheet (‘article_metadata’) provides metadata about the news articles : (1) id_article, the unique id of a news article, (2) title, the title of the news article, (3) source, the name of the news article website, (3) publication_date, the publication date of the news article (mm-dd-yyyy) and (4) URL, the web URL of the news article. The second sheet (‘annot_sentences’) contains the annotated sentences: each row corresponds to a sentence from a news article. Each sentence has two distinct labels, Event type and Information type. The set of columns is : (1) id_article, the id of the news article to which the sentence belongs, (2) id_sentence, the unique id of the sentence, indicating its position in the news content (integer ranging from 1 to n, n being the total number of sentences in the news article), (3) sentence_text, the sentence textual content, (4) event_type, the Event type label and (5) information_type, the Information type label. Event type labels indicate the relation between the sentence and the epidemiological context, i‧e. current event (CE), risk event (RE), old event (OE), general (G) and irrelevant (IR). Information type labels indicate the type of epidemiological information, i‧e descriptive epidemiology (DE), distribution (DI), preventive and control measures (PCM), economic and political consequences (EPC), transmission pathway (TP), concern and risk factors (CRF), general epidemiology (GE) and irrelevant (IR). (ii) The annotation guidelines (""epi_info_guidelines‧doc"") providing a detailed description of each category.",,CIRAD,,2022,Dataverse,https://doi.org/10.18167/DVN1/YGAKNB,YES,https://doi.org/10.1038/s41597-022-01743-2,CC BY 4.0 ,,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120044,44
NO,Avian Influenza events affecting mammals from ProMED,This dataset contains a set of Avian Influenza events affecting mammal species from 2020 to the present day extracted from EBS Padi-web and normalized to the ESA platform standard. Weekly updated. ,,CIRAD,,2023,,,NO,,,,https://promedmail.org/wp-content/uploads/2022/07/ProMed_logo-Full-Name.png,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120048,48
YES,"Dissemination of information in event-based surveillance, a case study of Avian Influenza - dataset","These datasets contain a set of news articles in English, French and Spanish extracted from Medisys (i.e. advanced search) according the following criteria:
(1) Keywords (at least): COVID-19, ncov2019, cov2019, coronavirus;
(2) Keywords (all words): masque (French), mask (English), máscara (Spanish)
(3) Periods: March 2020, May 2020, July 2020;
(4) Countries: UK (English), Spain (Spanish), France (French). ",,CIRAD,,2020,Dataverse,https://dataverse.cirad.fr/dataset.xhtml?persistentId=doi:10.18167/DVN1/ZUA8MF,YES,https://doi.org/10.1016/j.dib.2020.106356,CC4.0,N/A,,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120058,58
YES,,"This dataset contains a set of tables corresponding to the manual analysis of outbreak-related reports detected by two event-based surveillance tools, PADI-web and HealthMap, supporting the submitted article ""Dissemination of information in event-based surveillance, a case study of Avian Influenza"".

The reports were published between 1 July 2018 and 30st June 2019 and described one or several avian influenza outbreaks.  We collected 337 reports from PADI-web and 115 from HealthMap. Two epidemiologists identified all the reported events in the news, and classified them as official (notified to the World Organization for Animal Health) or non-official.

In order to trace back the source of the event’s information, the epidemiologist manually traced the information pathway of all events mentioned in the PADI-web and HealthMap news. The pathway was deducted from the sources cited in the news. When a source was cited with a hyperlink, we followed the hyperlink to retrace the information pathway as far as possible to the primary source. For each cited source, we created a pair of emitter SE and receptor sources SR. We labelled each new source with its type (e.g. online news source, national veterinary authority, etc.). We also recorded their geographical focus (local, national or international) and their specialization in the animal health news coverage (general or specialized).

The script for data analyses is available at https://github.com/SarahVal/EBS-network.",,CIRAD,,2022,Zenodo,https://doi.org/10.5281/zenodo.7324144,YES,N/A,CC40,,Not on the publication page,,,HPAI,C0016627,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120068,68
YES,"European West Nile virus outbreak event data identified by PADI-web, media monitoring tool","This repository contains 3 datasets related to human and animal West Nile virus geo-referenced outbreak locations in Europe, as well as climate and vector covariates captured by PADI-web media monitoring tool in online news articles, between 2010 and 2022. The data is available both as raw and curated datasets, composed of free text news articles describing West Nile virus outbreaks and extracted information on outbreaks. The data can be useful for spatial risk assessment of West Nile virus emergence in Europe, as well as improving information extraction (i.e., outbreak locations and dates, hosts, vectors, climate factors etc.) from outbreak related news articles. (2022-07-25)","Text-mining, information extraction, manual curation, West Nile, outbreaks, epidemic intelligence, risk mapping",CIRAD,"Elena Arsevska, elena.arsevska@cirad.fr",2022,Dataverse,https://doi.org/10.18167/DVN1/ZNVEPK,YES,"Not yer, undergping","CC0 - ""Public Domain Dedication""",No,Not on the publication page,,,WNV,C0043124,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120093,93
YES,Keywords for PADI-web implemented in Ocean Indian,"Keywords for 3 diseases (Leptospirosis, Dengue, Influenza) and syndromic surveillance in 4 languages",,CIRAD,,2023,Dataverse,https://doi.org/10.18167/DVN1/E7WMAO,YES,,,,https://padi-web.cirad.fr/media/images/logo_padi.width-500.jpg,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120098,98
YES,Labeled Entities from Social Media Data Related to Avian Influenza Disease,"This dataset is composed of spatial (ie. location) and thematic entities (ie. disease, symptoms, virus) concerning avian influenza in social media textual data, in English. It was created from three corpora: - The first one is composed of 10 transcriptions of YouTube videos and 70 tweets annotated manually by an annotator. - The second corpus is composed of the same textual data as corpus 1 but annotated automatically with Named Entity Recognition (NER) tools. These two corpora are create to do an evaluation of the NER tools and apply them to a larger corpus. - The third corpus is composed of 100 transcriptions of YouTube videos automatically annoted with NER tools. The aim of the annotation task was to recognize spatial information, as the name of cities and epidemiological information, as the name of diseases. An annotation guideline was created in order to have an unified annotation and help the annotators. This dataset can be used to train or evaluate natural language processing approaches such as specialized entity recognition.",,CIRAD,,2021,Dataverse,https://doi.org/10.15454/GR5EFS,YES,https://doi.org/10.1016/j.dib.2022.108317,CC0,,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png?size=140,,,HPAI,C0016627,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120099,99
NO,PADI-web,"PADI-web (Platform for Automated extraction of Disease Information from the web) is an automated biosurveillance system dedicated to the monitoring of online news sources for the detection of animal health infectious events. PADI-web automatically collects news with customised queries, classifies them and extracts epidemiological information (diseases, dates, symptoms, hosts and locations). In order to identify relevant news with PADI-web, specific models using machine learning approaches and labeled data have been integrated for monitoring plant diseases (e.g. Xylella fastidiosa). A limited version is available with free access for research or web monitoring. We warmly invite you to cite the project (cf. Publications). To get access to advanced functionalities and the extended data, please do not hesitate to contact us at padi-web@cirad.fr.","Epidemiology, health",CIRAD,Mathieu.Roche@cirad.fr,,yes,https://plant.padi-web.cirad.fr/,YES,https://doi.org/10.1016/j.onehlt.2021.100357,https://padi-web.cirad.fr/en/privacy-policy/,,https://padi-web.cirad.fr/media/images/logo_padi.width-500.jpg,,,"HPAI, TBE, Leptospirosis, AMR, WNE, Lyme, Unknown disease",,Software,,,,,c4702d92-80b3-11ee-b962-0242ac120112,112
YES,PADI-web corpus used for the EpidBioELECTRA approach,"This dataset contains a set of news articles in English related to animal disease outbreaks, that have been used to train and evaluate EpidBioELECTRA epidemiological classifier and explainer. It is composed of 70,707 articles in csv format found in several folders (relevant folder contains 34,015 news articles labelled relevant, while irrelevant folder contains 36,692 irrelevant articles), with information about the article itself (publication date, title, content, url, etc.). Thematic feature folder contains relevant and irrelevant labelled thematic features (disease, host, location, cases, etc) as contained in relevant and irrelevant documents by sentence id organized in year and month of the article. These labels were machine generated by PADIWeb classifier. ",,CIRAD,,2023,Dataverse,https://doi.org/10.18167/DVN1/WD1UC2,YES,,CC BY 4.0 ,,https://padi-web.cirad.fr/media/images/logo_padi.width-500.jpg,,,,,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120113,113
YES,PADI-web COVID-19 corpus: news articles manually labelled,"This dataset contains two files: a corpus of 275 manually labelled COVID-2019-news articles retrieved by PADI-web from Dec. 31, 2019, to Jan. 26, 2020 (padiweb_covid19.xlsx), and the multi-term expressions extracted from the news articles content using a text-mining tool, BIOTEX (biotex_covid19.xlsx). ",,CIRAD,,2020,Dataverse,https://doi.org/10.18167/DVN1/MSLEFC,YES,https://doi.org/10.1016/j.compag.2019.105163,,,https://padi-web.cirad.fr/media/images/logo_padi.width-500.jpg,,,COVID-19,C5203670,Dataset,Disease data,,,,c4702d92-80b3-11ee-b962-0242ac120114,114
NO,COVID-19 Tweet dataset,"COVID-19 Tweets for the period of January 2020 for UK, Italy and France",,CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2021,Github,https://github.com/mehtab-alam/spatial_opinion_mining/tree/master/datasets,YES,"https://doi.org/10.5220/0010887800003123

https://doi.org/10.1016/j.ijid.2021.12.065",,https://github.com/mehtab-alam/spatial_opinion_mining/tree/master,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,"UK, Italy, France",,COVID-19,,Dataset,Disease data,,,Public,c4702d92-80b3-11ee-b962-0242ac120125,125
NO,PADI-web AI corpus: news articles/sources manually labelled,Avian Influenza relevant articles and irrelevant articles +  manually labelled relevant and irrelevant sources,,CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2023,Github,https://github.com/mehtab-alam/data_quality/tree/master/datasets,YES,"https://doi.org/10.1007/978-3-031-04447-2_18 

https://doi.org/10.1109/C-CODE58145.2023.10139883",,https://github.com/mehtab-alam/data_quality/tree/master,https://padi-web.cirad.fr/media/images/logo_padi.width-500.jpg,,,HPAI,,Dataset,Disease data,,,Public,c4702d92-80b3-11ee-b962-0242ac120126,126
NO,PADI-web diseases corpus of events,"Events related articles of AI, TBE, COVID-19, Lyme, AMR",,CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2022,Github,https://github.com/mehtab-alam/RSI_Disease_Dataset/tree/master,YES,"https://doi.org/10.1080/15230406.2023.2264753

https://doi.org/10.5194/agile-giss-3-16-2022",,https://github.com/mehtab-alam/GeospaCy,https://padi-web.cirad.fr/media/images/logo_padi.width-500.jpg,,,"HPAI, TBE, COVID-19, Lyme, AMR",,Dataset,Disease data,,,Public,c4702d92-80b3-11ee-b962-0242ac120127,127
NO,Polygons dataset for Relative spatial information,Polygons geojson of relative spatial information for various cities across Europe and UK,,CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2022,Github,https://github.com/mehtab-alam/RSI-Tagger/tree/master/geojson,YES,"https://doi.org/10.1080/15230406.2023.2264753

https://doi.org/10.5194/agile-giss-3-16-2022",,https://github.com/mehtab-alam/GeospaCy,https://www.tandfonline.com/cms/asset/e0162320-3e8c-48d0-a81b-a8e48d943828/tcag_a_2264753_f0003_c.jpg,,,,,Dataset,Disease data,,,Public,c4702d92-80b3-11ee-b962-0242ac120128,128
NO,Spatial Opinion Mining of COVID-19 Tweets,Spatial Opinion Mining of COVID-19 Tweets through H-TFIDF and other features,"NLP, text-mining",CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2021,Github,,,,,https://github.com/mehtab-alam/spatial_opinion_mining/tree/master,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120133,133
